;id;model;years;search;Price:;New Price Roadworthy:;Road Tax / 3 Months:;Body Type:;Transmission:;Drive Wheel :;Engine/motor Type:;Fuel Type:;Power:;Total Max. Power (kW):;Top Speed:;Acceleration 0-100 Km / H:;Practice Consumption Monitor:;Cylinders:;Valves Per Cylinder:;Engine Capacity:;Bore X Stroke:;Compression Ratio:;Urban Consumption:;Extra-urban Consumption:;Combined Consumption:;Co2 Emissions:;Energy Label:;Low Consumption:;Medium Consumption:;High Consumption:;Very High Consumption:;Front Suspension:;Rear Suspension:;Front Stabilizer:;1st Gear:;2nd Gear:;3rd Gear:;4th Gear:;5th Gear:;Curb Weight:;Max. Payload:;Max. Permissible Mass:;Max. Front Axle Mass:;Max. Rear Axle Mass:;Cargo Capacity:;Length Min./max.:;Width Min./max.:;Height:;Height Of Lift Threshold:;Length:;Width:;Wheelbase:;Front Track Width:;Distance Backrest / Pedals:;Front Headroom:;Front Backrest Length:;Front Seat Length:;Front Entry Height:;Crash Test Result:;ABS:;Brake Force Distribution:;Brake Assist:;Emergency Braking Assistance:;Central Door Locking:;Keyless Entry/start:;Start Button:;Control Circuit:;Electric Windows:;Height Adjustment Seat:;Lumbar Support Seat:;Electric Adjustment Seat:;Heated Seats:;Ventilated Seats:;Interval Wiper (s):;Alloy Wheels:;Sliding / Tilting Roof:;Panoramic Roof:;Roof Rails:;Service:;General Warranty:;Body Warranty:;New Price Tax:;New Price 2012:;New Price 2011:;New Price 2010:;New Price 2009:;New Price 2008:;Occasion Price 2012:;Occasion Price 2011:;Occasion Price 2010:;4 Years Depreciation:;Motor Vehicle Tax:;Insurance:;Fuel Costs:;Maintenance:;New Price 2007:;New Price 2006:;New Price 2005:;New Price 2004:;New Price 2014:;New Price 2013:;Occasion Price 2014:;Occasion Price 2013:;New Price 2015:;Occasion Price 2015:;New Price 2003:;New Price 2002:;New Price 2001:;New Price 1982:;New Price 1981:;New Price 1980:;New Price 1979:;New Price 1985:;New Price 1984:;New Price 1983:;New Price 1989:;New Price 1988:;New Price 1987:;New Price 1986:;New Price 1998:;New Price 1997:;New Price 2000:;New Price 1999:;New Price 2016:;Occasion Price 2016:;New Price 1996:;New Price 1995:;New Price 1994:;New Price 1993:;New Price 1992:;New Price 1991:;New Price 1990:;New Price 2017:;Occasion Price 2017:;Engine Type:;Max Power:;Max. Power KW:;Max. Power Hp:;Max Torque:;New Price 1978:;New Price 1977:;New Price 2020:;New Price 2019:;New Price 2018:;Occasion Price 2019:;Occasion Price 2018:;Net Price:;VAT:;BPM (fixed):;Power Consumption:;Battery Range:;Total Max. Power (hp):;Back Door Wxh:
2615;2615;Toyota Corolla 1.4 16v VVT-i 2002 Manual 3 doors specs;"2002 - 2004
3 doors, Hatchback";;€ 15.990;n/a;€ 115 - € 128;3-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;71 kw (97 hp);71;185 km/h;12,0 s;6,9 l/100km (1);4, in line;4;1398 cc;79,0 x 71,3 mm;10,5 :1;8,4 l/100km;5,7 l/100km;;159 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1125 kg;530 kg;1655 kg;- kg;- kg;289 l;730 mm / 1380;;1475 mm;670 mm;4180 mm;1710 mm;2600 mm;1490 mm;900-1120 mm;900-945 mm;610 mm;500 mm;550 mm;****;yes;yes;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;15.000 km / 1 year;3 year, unlimited;12 year;€ 15.990;;;;;;;;;€ 179;€ 38;€ 40;€ 171;€ 45;;;;€ 15.990;;;;;;;€ 15.290;€ 15.290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2616;2616;Toyota Corolla 1.4 16v VVT-i 2004 Manual 3 doors specs;"2004 - 2007
3 doors, Hatchback";;€ 17.290;n/a;€ 115 - € 128;3-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;71 kw (97 hp);71;185 km/h;12,0 s;n.b.;4, in line;4;1398 cc;79,0 x 71,3 mm;10,5 :1;8,4 l/100km;5,7 l/100km;;159 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1130 kg;525 kg;1655 kg;- kg;- kg;310 l;730 mm / 1380;900 mm / -;1475 mm;670 mm;4180 mm;1710 mm;2600 mm;1480 mm;900-1120 mm;900-945 mm;610 mm;500 mm;550 mm;****;yes;yes;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;15.000 km / 1 year;3 year, 100000 km;12 year;€ 17.290;;;;;;;;;€ 196;€ 38;€ 42;€ 171;€ 45;€ 17.290;€ 16.990;€ 16.690;€ 16.390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2617;2617;Toyota Corolla Liftback 1.3 DX 1982 Manual 3 doors specs;"1982 - 1983
3 doors, Hatchback";;€ 8.483;n/a;€ 72 - € 80;3-doors, hatchback;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;872 kg;448 kg;1320 kg;- kg;- kg;- l;;;1340 mm;;4105 mm;1625 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 8.483;;;;;;;;;€ 73;€ 0;€ 25;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2618;2618;Toyota Corolla 1.3 XL 1987 Manual 5 doors specs;"1987 - 1988
5 doors, Hatchback";;€ 10.707;n/a;€ 72 - € 80;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;55 kw (75 hp);55;160 km/h;11,7 s;n.b.;4;3;1295 cc;73,0 x 77,4 mm;9,5 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;no;;;;;;917 kg;533 kg;1450 kg;- kg;- kg;281 l;;;1365 mm;;3995 mm;1655 mm;2430 mm;1430 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 10.707;;;;;;;;;€ 121;€ 0;€ 29;€ 182;€ 40;;;;;;;;;;;;;;;;;;;;;;€ 10.707;€ 10.140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2619;2619;Toyota Corolla 1.3 XLi 1992 Manual 5 doors specs;"1992 - 1995
5 doors, Hatchback";;€ 14.292;n/a;€ 93 - € 104;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;65 kw (88 hp);65;175 km/h;11,5 s;9,5 l/100km (1);4, in line;4;1332 cc;74,0 x 77,4 mm;9,8 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;997 kg;558 kg;1555 kg;- kg;- kg;309-1000 l;;;1380 mm;;4095 mm;1685 mm;2465 mm;1460 mm;;;;;;not tested;€ 1.359;n/a;n/a;n/a;no;n/a;n/a;n/a;n/a;yes(driver);n/a;n/a;n/a;n/a;yes;n/a;€ 1.119;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 14.292;;;;;;;;;€ 156;€ 0;€ 36;€ 185;€ 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;€ 14.065;€ 14.637;€ 13.929;€ 13.976;;;;;;;;;;;;;;;;;;;;;;;
2620;2620;Toyota Corolla 1.3 Linea Terra 1997 Manual 5 doors specs;"1997 - 2000
5 doors, Hatchback";;€ 14.290;n/a;€ 93 - € 104;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;63 kw (86 hp);63;175 km/h;12,5 s;6,7 l/100km (2);4, in line;4;1332 cc;74,0 x 77,4 mm;10,0 :1;8,8 l/100km;5,9 l/100km;;165 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1035 kg;545 kg;1580 kg;- kg;- kg;372 l;;;1385 mm;;4270 mm;1690 mm;2465 mm;1460 mm;;;;;;not tested;yes (since 9/1998);n/a;n/a;n/a;no;no;n/a;n/a;no;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 14.290;;;;;;;;;€ 158;€ 31;€ 36;€ 176;€ 44;;;;;;;;;;;;;;;;;;;;;;;;;€ 14.290;€ 14.290;€ 14.290;€ 14.290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2621;2621;Toyota Corolla 1.4 16v VVT-i Linea Terra 2000 Manual 5 doors specs;"2000 - 2002
5 doors, Hatchback";;€ 13.670;n/a;€ 115 - € 128;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;71 kw (96 hp);71;185 km/h;11,8 s;n.b.;4, in line;4;1398 cc;79,0 x 71,3 mm;n.b.;8,9 l/100km;5,7 l/100km;;- g/km;;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1060 kg;520 kg;1580 kg;- kg;- kg;372 l;960 mm / 1590;;1385 mm;680 mm;4290 mm;1690 mm;2465 mm;1460 mm;;;620 mm;490 mm;;not tested;yes;yes;n/a;n/a;no;no;n/a;n/a;no;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 13.670;;;;;;;;;€ 156;€ 0;€ 36;€ 173;€ 44;;;;;;;;;;;;€ 13.670;€ 15.031;;;;;;;;;;;;;;€ 14.743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2622;2622;Toyota Corolla 1.4 16v VVT-i 2002 Manual 5 doors specs;"2002 - 2004
5 doors, Hatchback";;€ 15.990;n/a;€ 115 - € 128;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;71 kw (97 hp);71;185 km/h;12,0 s;6,7 l/100km (1);4, in line;4;1398 cc;79,0 x 71,3 mm;10,5 :1;8,4 l/100km;5,7 l/100km;;159 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1125 kg;530 kg;1655 kg;- kg;- kg;289 l;730 mm / 1380;;1475 mm;670 mm;4180 mm;1710 mm;2600 mm;1490 mm;900-1120 mm;900-945 mm;610 mm;500 mm;550 mm;****;yes;yes;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;15.000 km / 1 year;3 year, unlimited;12 year;€ 15.990;;;;;;;;;€ 179;€ 38;€ 40;€ 171;€ 45;;;;€ 15.990;;;;;;;€ 15.750;€ 16.750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2623;2623;Toyota Corolla 1.4 16v VVT-i Linea Terra 2004 Manual 5 doors specs;"2004 - 2007
5 doors, Hatchback";;€ 19.790;n/a;€ 115 - € 128;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;71 kw (97 hp);71;185 km/h;12,0 s;n.b.;4, in line;4;1398 cc;79,0 x 71,3 mm;10,5 :1;8,4 l/100km;5,7 l/100km;;159 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1130 kg;525 kg;1655 kg;- kg;- kg;310 l;730 mm / 1380;900 mm / -;1475 mm;670 mm;4180 mm;1710 mm;2600 mm;1480 mm;900-1120 mm;900-945 mm;610 mm;500 mm;550 mm;****;yes;yes;n/a;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;15.000 km / 1 year;3 year, 100000 km;12 year;€ 19.790;;;;;;;;;€ 227;€ 38;€ 46;€ 171;€ 47;€ 19.790;€ 19.490;€ 19.290;€ 18.990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2624;2624;Toyota Corolla Liftback 1.3 GL 1983 Automatic 5 doors specs;"1983 - 1985
5 doors, Hatchback";;€ 10.571;n/a;€ 72 - € 80;5-doors, hatchback;3 speed automatic;rear;fuel engine;gasoline;55 kw (75 hp);55;155 km/h;17,8 s;n.b.;4, in line;2;1295 cc;73,0 x 77,0 mm;9,5 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;914 kg;471 kg;1385 kg;- kg;- kg;393-974 l;;;1385 mm;;4135 mm;1635 mm;2430 mm;1425 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 10.571;;;;;;;;;€ 91;€ 0;€ 29;€ 199;€ 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2625;2625;Toyota Corolla 1.3 DX 1985 Manual 5 doors specs;"1985 - 1987
5 doors, Hatchback";;€ 9.731;n/a;€ 72 - € 80;5-doors, hatchback;4 speed manual transmission;front;fuel engine;gasoline;55 kw (75 hp);55;160 km/h;14,1 s;n.b.;4, in line;3;1295 cc;73,0 x 77,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;no;;;;;;875 kg;510 kg;1385 kg;- kg;- kg;- l;;;1385 mm;;3970 mm;1635 mm;2430 mm;1425 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;variabel / 1 year;2 year, unlimited;6 year;€ 9.731;;;;;;;;;€ 99;€ 0;€ 27;€ 191;€ 39;;;;;;;;;;;;;;;;;;€ 9.030;;;;;€ 9.731;€ 9.030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2626;2626;Toyota Corolla Liftback 1.3 XL 1987 Manual 5 doors specs;"1987 - 1990
5 doors, Hatchback";;€ 12.522;n/a;€ 72 - € 80;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;55 kw (75 hp);55;160 km/h;11,7 s;n.b.;4;3;1295 cc;73,0 x 77,4 mm;9,5 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;no;;;;;;950 kg;500 kg;1450 kg;- kg;- kg;385 l;;;1365 mm;;4215 mm;1655 mm;2430 mm;1430 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 12.522;;;;;;;;;€ 144;€ 0;€ 32;€ 179;€ 40;;;;;;;;;;;;;;;;;;;;;€ 12.409;€ 11.978;€ 11.478;;;;;;;;;;;;;;€ 12.522;;;;;;;;;;;;;;;;;;;;;
2627;2627;Toyota Corolla Liftback 1.3 XLi 1992 Manual 5 doors specs;"1993 - 1994
5 doors, Hatchback";;€ 16.334;n/a;€ 93 - € 104;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;65 kw (88 hp);65;175 km/h;11,5 s;n.b.;4, in line;4;1332 cc;74,0 x 77,4 mm;9,8 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1020 kg;535 kg;1555 kg;- kg;- kg;400-1120 l;;;1375 mm;;4295 mm;1685 mm;2465 mm;1460 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes(driver);n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 16.334;;;;;;;;;€ 184;€ 0;€ 39;€ 185;€ 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;€ 16.334;€ 16.062;;;;;;;;;;;;;;;;;;;;;;;;
2628;2628;Toyota Corolla 1300 Special 1980 Manual 2 doors specs;"1980 - 1982
2 doors, Sedan";;€ 6.804;n/a;€ 55 - € 61;2-doors, sedan;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;830 kg;490 kg;1320 kg;- kg;- kg;250 l;;;1395 mm;;4050 mm;1610 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 6.804;;;;;;;;;€ 54;€ 0;€ 22;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2629;2629;Toyota Corolla 1.3 1982 Manual 2 doors specs;"1982 - 1983
2 doors, Sedan";;€ 7.077;n/a;€ 55 - € 61;2-doors, sedan;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;830 kg;490 kg;1320 kg;- kg;- kg;250 l;;;1395 mm;;4050 mm;1610 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 7.077;;;;;;;;;€ 58;€ 0;€ 23;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2630;2630;Toyota Corolla Coupe 1300 DX 1980 Manual 3 doors specs;"1980 - 1982
3 doors, Sedan";;€ 7.939;n/a;€ 72 - € 80;3-doors, sedan;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;872 kg;448 kg;1320 kg;- kg;- kg;- l;;;1335 mm;;4105 mm;1625 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 7.939;;;;;;;;;€ 65;€ 0;€ 25;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2631;2631;Toyota Corolla 1300 Special 1980 Manual 4 doors specs;"1980 - 1982
4 doors, Sedan";;€ 7.043;n/a;€ 72 - € 80;4-doors, sedan;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;875 kg;445 kg;1320 kg;- kg;- kg;250 l;;;1395 mm;;4050 mm;1610 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 7.043;;;;;;;;;€ 57;€ 0;€ 23;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2632;2632;Toyota Corolla 1.3 DX 1982 Manual 4 doors specs;"1982 - 1983
4 doors, Sedan";;€ 7.941;n/a;€ 72 - € 80;4-doors, sedan;4 speed manual transmission;rear;fuel engine;gasoline;44 kw (60 hp);44;150 km/h;13,8 s;n.b.;4, in line;2;1290 cc;75,0 x 73,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;875 kg;445 kg;1320 kg;- kg;- kg;250 l;;;1395 mm;;4050 mm;1610 mm;2400 mm;1320 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 7.941;;;;;;;;;€ 65;€ 0;€ 25;€ 215;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2633;2633;Toyota Corolla 1.3 1983 Manual 4 doors specs;"1983 - 1985
4 doors, Sedan";;€ 8.120;n/a;€ 55 - € 61;4-doors,  sedan;4 speed manual transmission;rear;fuel engine;gasoline;55 kw (75 hp);55;155 km/h;14,4 s;n.b.;4, in line;2;1295 cc;73,0 x 77,0 mm;9,5 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;;;;;;840 kg;545 kg;1385 kg;- kg;- kg;311 l;;;1385 mm;;4135 mm;1635 mm;2430 mm;1425 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n.b. / 1 year;- year, unlimited;- year;€ 8.120;;;;;;;;;€ 67;€ 0;€ 24;€ 204;€ 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2634;2634;Toyota Corolla 1.3 DX 1985 Manual 4 doors specs;"1985 - 1987
4 doors, Sedan";;€ 9.867;n/a;€ 55 - € 61;4-doors, sedan;4 speed manual transmission;front;fuel engine;gasoline;55 kw (75 hp);55;160 km/h;14,1 s;n.b.;4, in line;3;1295 cc;73,0 x 77,0 mm;9,0 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;no;;;;;;849 kg;536 kg;1385 kg;- kg;- kg;311 l;;;1385 mm;;4135 mm;1635 mm;2430 mm;1425 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;variabel / 1 year;2 year, unlimited;6 year;€ 9.867;;;;;;;;;€ 101;€ 0;€ 27;€ 191;€ 39;;;;;;;;;;;;;;;;;;€ 8.801;;;;;€ 9.867;€ 9.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2635;2635;Toyota Corolla 1.3 XL 1987 Automatic 4 doors specs;"1987 - 1991
4 doors, Sedan";;€ 12.987;n/a;€ 72 - € 80;4-doors, sedan;3 speed automatic;front;fuel engine;gasoline;55 kw (75 hp);55;155 km/h;17,0 s;n.b.;4;3;1295 cc;73,0 x 77,4 mm;9,5 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;no;2,81:1;1,55:1;1,00:1;;;935 kg;515 kg;1450 kg;- kg;- kg;440 l;;;1365 mm;;4195 mm;1655 mm;2430 mm;1430 mm;;;;;;not tested;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;yes;n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 12.987;;;;;;;;;€ 150;€ 0;€ 33;€ 193;€ 40;;;;;;;;;;;;;;;;;;;;;€ 12.794;€ 12.409;€ 11.841;;;;;;;;;;;;;€ 12.987;€ 12.908;;;;;;;;;;;;;;;;;;;;;
2636;2636;Toyota Corolla 1.3i Spirit 1992 Manual 4 doors specs;"1995 - 1995
4 doors, Sedan";;€ 13.591;n/a;€ 93 - € 104;4-doors, sedan;5 speed manual transmission;front;fuel engine;gasoline;65 kw (88 hp);65;175 km/h;11,5 s;n.b.;4, in line;4;1332 cc;74,0 x 77,4 mm;9,8 :1;- l/100km;- l/100km;;- g/km;;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;980 kg;575 kg;1555 kg;- kg;- kg;420 l;;;1380 mm;;4270 mm;1685 mm;2465 mm;1460 mm;;;;;;not tested;€ 1.359;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 13.591;;;;;;;;;€ 156;€ 0;€ 34;€ 185;€ 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;€ 13.838;;;;;;;;;;;;;;;;;;;;;;;;;;
2637;2637;Toyota Corolla 1.3 Linea Terra 1997 Manual 4 doors specs;"1997 - 2000
4 doors, Sedan";;€ 14.425;n/a;€ 93 - € 104;4-doors, sedan;5 speed manual transmission;front;fuel engine;gasoline;63 kw (86 hp);63;175 km/h;12,5 s;n.b.;4, in line;4;1332 cc;74,0 x 77,4 mm;10,0 :1;8,8 l/100km;5,9 l/100km;;165 g/km;g;;;;;coil springs;coil springs;yes;3,55:1;1,90:1;1,31:1;0,97:1;0,82:1;1000 kg;580 kg;1580 kg;- kg;- kg;390 l;;;1385 mm;;4295 mm;1690 mm;2465 mm;1460 mm;;;;;;not tested;yes (since 9/1998);n/a;n/a;n/a;no;no;n/a;n/a;no;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 14.425;;;;;;;;;€ 165;€ 31;€ 36;€ 176;€ 44;;;;;;;;;;;;;;;;;;;;;;;;;€ 14.426;€ 14.426;€ 14.425;€ 14.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2638;2638;Toyota Corolla 1.6 16v VVT-i Linea Terra 2000 Manual 4 doors specs;"2000 - 2002
4 doors, Sedan";;€ 15.090;n/a;€ 93 - € 104;4-doors, sedan;5 speed manual transmission;front;fuel engine;gasoline;81 kw (110 hp);81;195 km/h;10,0 s;n.b.;4, in line;4;1598 cc;79,0 x 81,5 mm;n.b.;9,1 l/100km;5,9 l/100km;;- g/km;;;;;;coil springs;coil springs;yes;3,17:1;1,90:1;1,31:1;0,97:1;0,82:1;1030 kg;585 kg;1615 kg;- kg;- kg;390 l;;;1385 mm;;4315 mm;1690 mm;2465 mm;1460 mm;;;;;;not tested;yes;yes;n/a;n/a;no;no;n/a;n/a;no;yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;10.000 km / 1 year;3 year, unlimited;6 year;€ 15.090;;;;;;;;;€ 181;€ 0;€ 37;€ 178;€ 44;;;;;;;;;;;;€ 15.090;€ 16.452;;;;;;;;;;;;;;€ 15.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
